value,label
238,"Abagnale"
46,"Abalsamo"
7,"Abascia"
16,"Abascia'"
44,"Abatangelo"
1626,"Abate"
71,"Abatecola"
37,"Abategiovanni"
35,"Abaterusso"
259,"Abati"
21,"Abatini"
16,"Abazia"
88,"Abbadessa"
36,"Abbadini"
71,"Abbafati"
42,"Abbagnale"
21,"Abbagnano"
27,"Abbagnato"
103,"Abballe"
20,"Abbamondi"
62,"Abbamonte"
4,"Abbascia"
19,"Abbascia'"
88,"Abbasciano"
6,"Abbassi"
38,"Abbatantuono"
1454,"Abbate"
44,"Abbatecola"
43,"Abbatelli"
29,"Abbatepaolo"
214,"Abbati"
31,"Abbaticchio"
116,"Abbatiello"
22,"Abbatini"
173,"Abbattista"
46,"Abbenante"
21,"Abbenda"
18,"Abbene"
326,"Abbiati"
6,"Abbigliamento"
112,"Abbinante"
85,"Abbondandolo"
31,"Abbondante"
352,"Abbondanza"
52,"Abbondanzieri"
48,"Abbondi"
35,"Abbondio"
92,"Abbonizio"
70,"Abbracciavento"
75,"Abbrescia"
30,"Abbruciati"
24,"Abbrugiati"
49,"Abbruscato"
488,"Abbruzzese"
30,"Abbruzzetti"
18,"Abbruzzi"
24,"Abbruzzino"
66,"Abbruzzo"
13,"Abbundo"
36,"Abd"
2,"Abecolli"
14,"Abeli"
124,"Abelli"
80,"Abello"
26,"Abellonio"
43,"Abeltino"
60,"Abenante"
204,"Abeni"
2,"Aberi"
28,"Abisso"
24,"Abitabile"
78,"Abiuso"
52,"Ablondi"
52,"Abondio"
27,"Abozzi"
199,"Abrami"
204,"Abramo"
189,"Abrate"
54,"Abrescia"
34,"Abrignani"
20,"Abrile"
26,"Abriola"
8,"Abrioli"
23,"Abronzino"
27,"Abruscato"
53,"Abrusci"
201,"Abruzzese"
20,"Abruzzini"
85,"Abruzzo"
15,"Abundo"
3,"Acaccia"
30,"Acacia"
57,"Acca"
38,"Accadia"
57,"Accalai"
23,"Accame"
23,"Accaputo"
342,"Accardi"
607,"Accardo"
18,"Accarini"
98,"Accarino"
21,"Accarisi"
31,"Accarrino"
40,"Accastello"
49,"Accatino"
53,"Accattoli"
266,"Accetta"
33,"Accettulli"
104,"Accettura"
31,"Acchiardi"
28,"Acchioni"
169,"Acciai"
19,"Acciaio"
42,"Acciaioli"
70,"Acciardi"
74,"Acciari"
34,"Acciarini"
40,"Acciarino"
43,"Acciarito"
88,"Acciaro"
22,"Acciaroli"
28,"Acciarresi"
118,"Acciarri"
38,"Acciavatti"
24,"Accica"
21,"Accili"
5,"Accillaro"
49,"Accinelli"
27,"Accini"
27,"Accinni"
28,"Acco"
186,"Accogli"
103,"Accolla"
86,"Accomando"
29,"Accomasso"
33,"Accomazzo"
40,"Acconci"
93,"Acconcia"
21,"Acconciaioco"
6,"Acconciature"
1,"Acconito"
70,"Accordi"
76,"Accordini"
77,"Accordino"
71,"Accorinti"
171,"Accornero"
25,"Accoroni"
55,"Accorroni"
410,"Accorsi"
24,"Accorsini"
16,"Accorso"
61,"Accossato"
71,"Accoto"
20,"Accotto"
1,"Accurli"
25,"Accursi"
5,"Accurti"
18,"Accusani"
41,"Acella"
410,"Acerbi"
155,"Acerbis"
60,"Acerbo"
60,"Acerboni"
97,"Acerra"
335,"Aceti"
445,"Aceto"
82,"Achenza"
166,"Achille"
381,"Achilli"
25,"Achino"
185,"Acierno"
